Fid,Airline,Flight,DateTime,Lat,Lon,Geoaltitude,Lat2,Lon2,Geoaltitude2,Lat3,Lon3,Geoaltitude3,Lat4,Lon4,Geoaltitude4,Lat5,Lon5,Geoaltitude5,Label
10.42.0.151-66.198.24.253-34594-443-6,AirAsia,I5-747,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.1-10.42.0.42-53-22896-17,GO_FIRST,G8-266,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
183.79.249.124-10.42.0.42-443-32788-6,GO_FIRST,G8-101,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
8.43.72.47-10.42.0.211-443-57487-6,GO_FIRST,G8-103,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
172.217.10.227-10.42.0.151-443-40748-6,Air_India,AI-441,01-12-23 18:02,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-5934-53-17,Indigo,6E-5328,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-28122-53-17,Vistara,UK-933,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
202.77.129.150-10.42.0.211-80-35457-6,Indigo,6E-2046,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-34084-53-17,AirAsia,I5-744,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-25428-53-17,SpiceJet,SG-8169,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-64.71.142.125-58263-443-6,Indigo,6E-5041,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-76.13.28.196-35588-443-6,GO_FIRST,G8-165,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-57686-53-17,Indigo,6E-2373,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
172.217.10.227-10.42.0.151-443-55894-6,Vistara,UK-813,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
216.58.217.132-10.42.0.42-443-38318-6,Vistara,UK-817,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
151.101.1.134-10.42.0.211-443-53231-6,Vistara,UK-819,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-123.125.29.220-52992-80-6,Vistara,UK-801,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.10.106-10.42.0.151-443-54911-6,Vistara,UK-815,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
180.163.251.231-10.42.0.211-80-33688-6,Air_India,AI-453,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
172.217.12.174-10.42.0.42-443-34437-6,SpiceJet,SG-2976,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
209.85.144.188-10.42.0.151-5228-53129-6,SpiceJet,SG-2976,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.42-108.168.176.242-60301-5222-6,Air_India,AI-504,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-10.42.0.1-52744-53-17,Air_India,AI-502,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-104.193.88.109-49994-80-6,Air_India,AI-506,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.11.13-10.42.0.151-443-59852-6,Air_India,AI-803,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-64.71.142.95-43962-443-6,Air_India,AI-479,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-53961-53-17,SpiceJet,SG-339,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.1-10.42.0.42-53-57757-17,Vistara,UK-955,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
175.100.207.233-10.42.0.42-443-44017-6,Vistara,UK-627,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
192.229.173.173-10.42.0.151-80-44108-6,AirAsia,I5-784,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.1-10.42.0.42-53-28181-17,Air_India,AI-9643,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
180.149.153.68-10.42.0.211-80-55229-6,Air_India,AI-540,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
203.205.190.50-10.42.0.211-80-45204-6,Air_India,AI-429,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-103.235.46.211-40341-443-6,Air_India,AI-439,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
172.217.9.234-10.42.0.211-443-34854-6,Air_India,AI-9645,01-12-23 18:03,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-23.23.129.231-39573-443-6,Indigo,6E-2193,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-123.125.115.190-54988-80-6,Indigo,6E-2168,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
182.22.67.89-10.42.0.211-443-45893-6,Indigo,6.00E-152,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
192.229.173.173-10.42.0.211-80-48507-6,Indigo,6E-2193,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
182.22.31.124-10.42.0.151-443-33448-6,Indigo,6E-369,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-34079-53-17,Vistara,UK-899,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-104.193.88.109-45537-80-6,Air_India,AI-764,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.10.238-10.42.0.42-443-42082-6,Vistara,UK-747,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.151-52.2.229.30-50811-443-6,Vistara,UK-809,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
208.80.154.224-10.42.0.211-443-47230-6,Vistara,UK-737,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
182.22.67.102-10.42.0.42-443-39714-6,Vistara,UK-813,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-66.231.239.122-58315-80-6,Vistara,UK-817,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
182.22.24.124-10.42.0.211-443-41793-6,Vistara,UK-813,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
203.205.158.61-10.42.0.211-80-36233-6,Indigo,6E-2338,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
157.240.2.20-10.42.0.211-443-46559-6,GO_FIRST,G8-237,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-104.88.89.135-34552-443-6,Vistara,UK-871,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.36.210.51-10.42.0.211-5222-58655-6,Vistara,UK-871,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.42-119.146.74.34-40783-80-6,Air_India,AI-762,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-115.239.210.141-55141-80-6,GO_FIRST,G8-1404,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
8.41.222.241-10.42.0.211-443-42254-6,Vistara,UK-747,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-52.26.183.201-37035-443-6,Air_India,AI-512,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.10.234-10.42.0.151-443-55558-6,Air_India,AI-537,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-31.13.69.195-58190-443-6,Vistara,UK-977,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-54594-53-17,Vistara,UK-809,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.6.202-10.42.0.42-443-48713-6,Vistara,UK-809,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
162.208.22.39-10.42.0.211-443-49602-6,Indigo,6.00E-184,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-53121-53-17,SpiceJet,SG-3002,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.35.73.77-10.42.0.211-443-33724-6,Indigo,6E-2102,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
183.79.249.252-10.42.0.42-443-49944-6,Air_India,AI-801,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
172.217.11.10-10.42.0.211-443-33085-6,Vistara,UK-637,01-12-23 18:04,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-54.148.92.62-56106-443-6,Vistara,UK-747,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.12.163-10.42.0.42-80-46900-6,Vistara,UK-835,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-121.14.255.98-58510-80-6,Air_India,AI-764,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
222.73.28.96-10.42.0.42-80-43334-6,Air_India,AI-531,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-14784-53-17,Vistara,UK-817,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.12.206-10.42.0.42-443-37264-6,Vistara,UK-819,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
172.217.12.164-10.42.0.42-443-50725-6,Vistara,UK-801,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
180.149.153.234-10.42.0.211-80-51798-6,Vistara,UK-815,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-10.42.0.1-35069-53-17,Vistara,UK-813,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-115.239.210.141-58261-443-6,Vistara,UK-705,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
239.255.255.250-10.42.0.1-1900-35242-17,Vistara,UK-707,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-23.21.51.186-57991-443-6,Vistara,UK-737,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
203.205.128.137-10.42.0.211-80-42246-6,Air_India,AI-762,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-32971-53-17,Vistara,UK-673,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-31.13.69.195-33447-443-6,Air_India,AI-839,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
174.36.210.49-10.42.0.211-443-54136-6,Vistara,UK-879,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.151-108.174.10.10-47464-443-6,Vistara,UK-705,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-64.71.142.110-46734-80-6,GO_FIRST,G8-191,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,1
10.42.0.211-10.42.0.1-30959-53-17,Vistara,UK-819,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-10.42.0.1-62569-53-17,Vistara,UK-801,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
10.42.0.211-52.84.143.156-35172-443-6,Vistara,UK-815,01-12-23 18:05,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,33.78941345,-84.47225142,441.96,0
